# Nombre	Coste	Permitido	Grado	Tipo	Categoria1 (bonus), Categoria2 (bonus), {listado a seleccionar una}...	Descripcion	
#########	#########	#########	#######	#########	#########	#########	
Bonificación a Agilidad (Máximo)	30	Todos	Máximo	Capacidad Especial	Ag (8)	Otorga un +8 a Empatía. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Agilidad (Mayor)	20	Todos	Mayor	Capacidad Especial	Ag (5)	Otorga un +5 a Empatía. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Agilidad (Menor)	10	Todos	Menor	Capacidad Especial	Ag (3)	Otorga un +3 a Empatía. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Autodisciplina (Máximo)	30	Todos	Máximo	Capacidad Especial	Ad (8)	Otorga un +8 a Autodisciplina. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Autodisciplina (Mayor)	20	Todos	Mayor	Capacidad Especial	Ad (5)	Otorga un +5 a Autodisciplina. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Autodisciplina (Menor)	10	Todos	Menor	Capacidad Especial	Ad (3)	Otorga un +3 a Autodisciplina. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Constitución (Máximo)	30	Todos	Máximo	Capacidad Especial	Co (8)	Otorga un +8 a Constitución. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Constitución (Mayor)	20	Todos	Mayor	Capacidad Especial	Co (5)	Otorga un +5 a Constitución. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Constitución (Menor)	10	Todos	Menor	Capacidad Especial	Co (3)	Otorga un +3 a Constitución. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Fuerza (Máximo)	30	Todos	Máximo	Capacidad Especial	Fu (8)	Otorga un +8 a Fuerza. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Fuerza (Mayor)	20	Todos	Mayor	Capacidad Especial	Fu (5)	Otorga un +5 a Fuerza. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Fuerza (Menor)	10	Todos	Menor	Capacidad Especial	Fu (3)	Otorga un +3 a Fuerza. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Intuición (Máximo)	30	Todos	Máximo	Capacidad Especial	In (8)	Otorga un +8 a Intuición. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Intuición (Mayor)	20	Todos	Mayor	Capacidad Especial	In (5)	Otorga un +5 a Intuición. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Intuición (Menor)	10	Todos	Menor	Capacidad Especial	In (3)	Otorga un +3 a Intuición. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Memoria (Máximo)	30	Todos	Máximo	Capacidad Especial	Me (8)	Otorga un +8 a Memoria. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Memoria (Mayor)	20	Todos	Mayor	Capacidad Especial	Me (5)	Otorga un +5 a Memoria. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Memoria (Menor)	10	Todos	Menor	Capacidad Especial	Me (3)	Otorga un +3 a Memoria. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Presencia (Máximo)	30	Todos	Máximo	Capacidad Especial	Pr (8)	Otorga un +8 a Presencia. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Presencia (Mayor)	20	Todos	Mayor	Capacidad Especial	Pr (5)	Otorga un +5 a Presencia. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Presencia (Menor)	10	Todos	Menor	Capacidad Especial	Pr (3)	Otorga un +3 a Presencia. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Rapidez (Máximo)	30	Todos	Máximo	Capacidad Especial	Rp (8)	Otorga un +8 a Rapidez. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Rapidez (Mayor)	20	Todos	Mayor	Capacidad Especial	Rp (5)	Otorga un +5 a Rapidez. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Rapidez (Menor)	10	Todos	Menor	Capacidad Especial	Rp (3)	Otorga un +3 a Rapidez. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Razón (Máximo)	30	Todos	Máximo	Capacidad Especial	Ra (8)	Otorga un +8 a Razón. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Razón (Mayor)	20	Todos	Mayor	Capacidad Especial	Ra (5)	Otorga un +5 a Razón. Consulta la página 69 del libro de personajes para más información.	
Bonificación a Razón (Menor)	10	Todos	Menor	Capacidad Especial	Ra (3)	Otorga un +3 a Razón. Consulta la página 69 del libro de personajes para más información.	
Brazo Poderoso	5	Todos	Mínimo	Físico	Ninguna	Todos los alcances de las armas arrojadizas se incrementan un 25%. Consulta la página 56 del libro de personajes para más información.	
Caballeroso	-10	Todos	Menor	Mental	Ninguno	No puedes atacar por la espalda, a enemigos desarmados, en ventaja de oportunidades, etc. Consulta la página 90 del libro de personajes para más información.	
Capacidad Mágica	30	Todos	Máximo	Capacidad Mágica	TR Reino (50), Listas Básicas de Hechizos (25), Listas Abiertas de Hechizos (25), Listas Cerradas de Hechizos (25), Listas Básicas de Otras Profesiones (25), Listas Básicas de la Tríada (25), Listas Hechizos de Adiestramiento (25), Listas Básicas Elementales Complementarias (25), Sintonización (25*), Leer Runas (25*)	Solo afecta a los hechizos y objetos de tu propio reino. Consulta la página 62 del libro de personajes para más información.	
Ciego al Color	-5	Todos	Mínimo	Físico	Ninguna	Ves en blanco y negro. Pagina 84 del Manual de Personajes.
Control Mental	25	Todos	Máximo	Mental	Ninguno	Ganas la habilidad de controlar mentalmente a un sujeto. Consulta la página 65 del libro de personajes para más información.	
Control Sobre el Arma	10	Todos	Menor	Adiestramiento Especial	Ninguno	Todas las armas de tu categoría reducen su pifia en 2. El resto la reducen en 1. Consulta la página 53 del libro de personajes para más información.	
Culpa de Sangre	-10	Menor	Todos	Mental	Ninguna	Te sientes culpable y deprimido siempre que mates a un humanoide. Si dañas o hieres a uno de ellos, tendrás una penalización de -25 durante los d10 días siguientes. Pagina 91 del Manual de Personajes.
Desaprovación de las Armas	-20	Todos	Máximo	Mental	Armas·2manos (-20), Armas·Arrojadizas (-20), Armas·Artillería (-20), Armas·Contundentes (-20), Armas·Asta (-20), Armas·Filo (-20), Armas·Proyectiles (-20)	Consulta la página 91 del libro de personajes para más información.	
Descoordinación	-7	Todos	Menor	Físico	Ninguna	Sufres un crítico A de Desequilibrio siempre que falles una maniobra. Pagina 85 del Manual de Personajes.
Dotes de Mando	18	Todos	Mayor	Mental	Liderazgo (25)	Por una acción del 25% +10 BO y +10 BD a tus aliados, por una acción del 50% causas miedo a tus adversarios. Consulta la página 57 del libro de personajes para más información.	
Duplicación	30	Todos	Máximo	Capacidad Especial	Ninguno	Genera una copia exacta de ti mismo.	Consulta la página 70 del libro de personajes para más información.
Edad	-10	Todos	Menor	Físico	Ninguna	Como mínimo has alcanzado una mediana edad para tu raza. Deberás de tirar por deterioro de características cada año (Consulta el manual de DJ). Eres viejo, probablemente sabio y un poco lento. Consulta la página 85 del libro de personajes para más información.	
Elástico	15	Todos	Mayor	Físico	Ninguna	Cualquier hemorragia se reduce a la mitad. Consulta la página 57 del libro de personajes para más información.	
Elocuencia	15	Todos	Mayor	Capacidad Mágica	Listas Básicas de Hechizos (15), Listas Abiertas de Hechizos (15), Listas Cerradas de Hechizos (15), Listas Básicas de Otras Profesiones (15), Listas Básicas de la Tríada (15), Listas Básicas Elementales Complementarias (15), Listas Hechizos de Adiestramiento (15), Listas Abiertas de Otros Reinos (15), Listas Abiertas Arcanas (15), Listas Cerradas de Otros Reinos (15)	Solo afecta a los hechizos y objetos de tu propio reino. Consulta la página 62 del libro de personajes para más información.
Envejecimiento Anormal	5	Mínimo	Todos	Capacidad Mágica	Ninguna	Envejeces más lentamente que el resto de tu raza. Todas las maniobras de envejecimiento se realizan con una categoría menos hacia la izquierda. Pagina 63 del Manual de Personajes.
Escéptico	10	Todos	Menor	Mental	TR Esencia (25), TR Canalización (25), TR Mentalismo (25)	No puedes usar hechizos ni artefactos mágicos). Consulta la página 66 del libro de personajes para más información.	
Experimentado (Cat) (Máximo)	30	Todos	Máximo	Adiestramiento Especial	{Cualquier Categoría} (20)[1]	Solamente Categorías con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
Experimentado (Cat) (Mayor)	20	Todos	Mayor	Adiestramiento Especial	{Cualquier Categoría} (15)[1]	Solamente Categorías con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
Experimentado (Cat) (Menor)	10	Todos	Menor	Adiestramiento Especial	{Cualquier Categoría} (10)[1]	Solamente Categorías con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
Experimentado (Cat) (Mínimo)	5	Todos	Mínimo	Adiestramiento Especial	{Cualquier Categoría} (5)[1]	Solamente Categorías con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
Experimentado (Hab) (Máximo)	30	Todos	Máximo	Adiestramiento Especial	{Cualquier Habilidad} (40)[1]	Solamente Habilidades con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
Experimentado (Hab) (Mayor)	20	Todos	Mayor	Adiestramiento Especial	{Cualquier Habilidad} (30)[1]	Solamente Habilidades con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
Experimentado (Hab) (Menor)	10	Todos	Menor	Adiestramiento Especial	{Cualquier Habilidad} (20)[1]	Solamente Habilidades con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
Experimentado (Hab) (Mínimo)	5	Todos	Mínimo	Adiestramiento Especial	{Cualquier Habilidad} (10)[1]	Solamente Habilidades con progresión Estándar o Combinada. Consulta la página 54 del libro de personajes para más información.	
#Experto en Armas Especializado (Mayor)	15	Todos	Mayor	Adiestramiento Especial	{Cualquier Arma}(Profesional)[1]	Una habilidad de armas será profesional, el resto de la categoría será común. Consulta la página 54 del libro de personajes para más información.
Experto en Armas Especializado (Menor)	10	Todos	Menor	Adiestramiento Especial	{Cualquier Arma}(Común)[1]	Una habilidad de armas será común. Consulta la página 54 del libro de personajes para más información.	
Experto en Hierbas	7	Todos	Menor	Adiestramiento Especial	Cocinar (20), Forrajear (20), Usar Hierbas (20), Preparar Hierbas (20), Conocimiento de los Venenos (20), Conocimiento de las Hierbas (20)	Consulta la página 54 del libro de personajes para más información.	
Falta de Alcance	-20	Todos	Máximo	Físico	Ninguno	Todos los alcances de hechizos y proyectiles a la mitad. Consulta la página 86 del libro de personajes para más información.	
Fanático	-10	Todos	Menor	Mental	Ninguna	Crees con mucha fuerza en una persona o ideal. Podría ser un gobernante, un ser querido, un país, o una religión. Esta fe es lo más importante para ti. Probablemente no notarás ningún defecto en lo que crees, e incluso puedes estar dispuesto a morir por ello. Sigues el código o las órdenes de lo que crees de forma fanática. Consulta la página 92 del libro de personajes para más información.	
Fortaleza Corporal	8	Todos	Menor	Físico	Desarrollo Físico (20)	Consulta la página 58 del libro de personajes para más información.	
Fuerza Incontrolable	-10	Todos	Menor	Físico	Ninguna	10% de triplicar tu bonificación a fuerza en un estado emocional extremo. Consulta la página 86 del libro de personajes para más información.	
Glotón	-3	Todos	Mínimo	Mental	Ninguna	Te gusta comer y beber. Si es necesario que no comas, debes hacer una tirada de fuerza de voluntad con una bonificación de tu autodisciplina x3. También sufres de sobrepeso.
Grito de Guerra	7	Todos	Menor	Físico	Ninguna	+10 a BO y BD para un combate (1 vez al día). Consulta la página 58 del libro de personajes para más información.	
Habilidades de Tiempo	18	Todos	Mayor	Capacidades Mágicas	Ninguna	La duración de todos tus hechizos se dobla, salvo los instantáneos o aquellos que requieran concentración. Consulta la página 64 del libro de personajes para más información.	
Hombre de Campo	12	Todos	Mayor	Adiestramiento Especial	Forrajear (50), Rastrear (20), Cazar (20), Acechar (20), Esconderse (20)	Los bonus solamente afectan mientras se está en el exterior. También da un +50 a Encender Fuego y Buscar Refugios. Consulta la página 55 del libro de personajes para más información.	
Ilusión (Mayor)	-15	Mayor	Todos	Mental	Ninguna	Tienes una ilusión en la que crees ciegamente. El engaño posee repercusiones potencialmente fatales. Debes interpretarlo siempre que sea necesario. Pagina 92 del Manual de Personajes.
Ilusión (Menor)	-10	Menor	Todos	Mental	Ninguna	Tienes una ilusión en la que crees ciegamente. El engaño afecta a tu vida de forma importante, pero no impide tu interacción con los demás. Debes interpretarlo siempre que sea necesario. Pagina 92 del Manual de Personajes.
Ilusión (Mínimo)	-3	Mínimo	Todos	Mental	Ninguna	Tienes una ilusión en la que crees ciegamente. El engaño es de carácter menor (por ejemplo, el planeta es plano). Debes interpretarlo siempre que sea necesario. Pagina 92 del Manual de Personajes.
Indeciso	-20	Máximo	Todos	Mental	Ninguna	Eres indeciso. Tu indecisión es mayor cuanto más rápida es la decisión a realizar. Sufres una penalización de -50 a todas tus acciones apresuradas en lugar del -20 habitual. Pagina 93 del Manual de Personajes.
Infravisión	5	Todos	Mínimo	Físico	Ninguna	Permite ver en la oscuridad hasta 30 metros. Además tienes uno +25 a rastrear por la noche si el objetivo ha pasado por la zona hace menos de 30 minutos. Consulta la página 58 del libro de personajes para más información.	
Instinto de Supervivencia	7	Todos	Menor	Mental	Ninguno	Consulta la página 67 del libro de personajes para más información.	
Intolerante	-5	Todos	Mínimo	Mental	Ninguno	Debes mostrar disgusto ante el objetivo de tu intolerancia. Consulta la página 93 del libro de personajes para más información.	
Jinete Nato	7	Todos	Menor	Adiestramiento Especial	Montar: Caballos (25), Manejo de los Animales (25), Combate Montado (25), Maestría de Animales (25)	Solamente se aplica a caballos. Consulta la página 55 del libro de personajes para más información.	
Juego de Muñecas	15	Todos	Mayor	Físico	Artes Marciales·Barridos (20), Artes Marciales·Golpes (20), Armas·Arrojadizas (20)	Consulta la página 58 del libro de personajes para más información.	
Lazos Etéreos	15	Todos	Mayor	Capacidad Mágica	Ninguna	Existe un 25% de que cuando luches por tu ideal te posea una entidad dándote un TA11, BO +25, BD +10. No puedes parar. Además al acabar el combate existe la posibilidad de que se quede 2D10 horas controlando tu cuerpo si fallas un TR contra Nivel 10 de canalización. Consulta la página 64 del libro de personajes para más información.	
Maldición de las Armas	-15	Todos	Máximo	Mental	{cualquier Categoría de Armas} (-20)[-1]	Consulta la página 94 del libro de personajes para más información.	
Mal Genio	-10	Todos	Menor	Mental	Ninguno	Respondes violentamente antes las afrentas. Lanza un D100 +40 - 3xAd. Si el resultado es superior de 100 actúas agresivamente. Consulta la página 93 del libro de personajes para más información.	
Megalómano	-10	Todos	Menor	Mental	Ninguno	Crees en una meta en la vida. Consulta la página 94 del libro de personajes para más información.	
Mente sobre Material	10	Todos	Menor	Mental	Autocontrol (20)	Consulta la página 67 del libro de personajes para más información.	
Miedo a las Armaduras	-20	Todos	Máximo	Mental	Armadura·Ligera (Restringida), Armadura·Media (Restringida), Armadura·Pesada (Restringida)	No te gustan las armaduras. Todas las habilidades del grupo de armadura son clasificadas como habilidades restringidas. Consulta la página 92 del libro de personajes para más información.	
Mirada Intensa	5	Todos	Mínimo	Físico	Embaucar (10*), Sobornar (10*), Interrogar (10*), Diplomacia (10*), Liderazgo (10*), Seducción (10*), Mendigar (10*), Comerciar (10*)	Siempre que los ojos sean visibles. Consulta la página 59 para más información.	
Olfato Fino	10	Menor	Todos	Físico	Olfato (10), Rastrear (25*)	Tienes un sentido del olfato muy fino. Detectas olores hasta 30 metros con el viento en contra, 600 metros con el viento a favor y 150 con el viento en calma. Pagina 59 del Manual de Personajes.
Piel Gruesa (Máximo)	25	Todos	Mayor	Físico	Apariencia (-40), TA (11)	Otorga un TA 11. Consulta la página 60 del libro de personajes para más información.	
Piel Gruesa (Mayor)	15	Todos	Mayor	Físico	Apariencia (-20), TA (4)	Otorga un TA 4. Consulta la página 60 del libro de personajes para más información.	
Piel Sensible	-10	Todos	Menor	Físico	Ninguno	Siempre que use metal (armadura) sufre un -10 a todas las acciones. Consulta la página 88 del libro de personajes para más información.	
Planear	15	Mayor	Todos	Físico	Ninguna	Puedes planear como un pájaro. El producto de tu altitud y tu velocidad horizontal no puede exceder los 30 metros por asalto. Por ejemplo, puedes planear a una velocidad de 1,5 metros por asalto a una altura de 20 metros o a una velocidad de 15 metros por asalto si la altura es de 2 metros. El múltiplo debe ser siempre 30. Pagina 60 del Manual de Personajes.
Poder (Mínimo)	5	Todos	Mínimo	Adiestramiento Especial	{Listas Básicas de Hechizos} (3r)[3]	Tienes tres rangos adicionales de hechizos.	
Promesa (Máximo)	-20	Todos	Mental	Máximo	Ninguno	Una promesa como ayudar el débil, desafiar a los que te agravien, etc. Consulta la página 96 del libro de personajes para más información.	
Promesa (Mayor)	-15	Todos	Mayor	Mental	Ninguno	Una promesa como no usar armas de filo, no hablar, etc. Consulta la página 96 del libro de personajes para más información.	
Promesa (Menor)	-7	Todos	Menor	Mental	Ninguno	Una promesa como castidad, no comer carne, etc. Consulta la página 96 del libro de personajes para más información.	
Promesa (Mínimo)	-3	Todos	Mental	Mínimo	Ninguno	Una promesa como no vestir nunca un color, etc. Consulta la página 96 del libro de personajes para más información.	
Prototipo	18	Todos	Mayor	Capacidad Mágica	Desarrollo de Puntos de Poder (Común)	La habilidad de Desarrollo de Puntos de Poder es común. Consulta la página 64 del libro de personajes para más información.	
Pulmones Poderosos	5	Todos	Mínimo	Físico	Ninguno	Aguantas la respiración diez segundos más un minuto por cada punto de bonificación a constitución. Consulta la página 60 del libro de personajes para más información.	
Reflejos de Combate	7	Todos	Menor	Físico	Ninguno	Puedes hacer una tirada adicional de iniciativa y elegir. Consulta la página 67 del libro de personajes para más información.	
Regeneración (Máximo)	25	Todos	Máximo	Físico	Ninguna	Tu cuerpo recupera tres puntos de daño por asalto. Consulta la página 60 del Manual de Personajes para más detalles.
Regeneración (Mayor)	15	Todos	Mayor	Físico	Ninguna	Tu cuerpo recupera dos puntos de daño por asalto. Consulta la página 60 del Manual de Personajes para más detalles.
Regeneración (Menor)	8	Todos	Menor	Físico	Ninguna	Tu cuerpo recupera un punto de daño por minuto. Consulta la página 60 del Manual de Personajes para más detalles.
Reserva de Veneno	10	Todos	Menor	Físico	Ninguna	Genera un veneno de Nº5. Impacata si hace crítico en un ataque especial. Consulta la página 60 del libro de personajes para más información.	
Resistencia al Dolor (Máximo)	20	Todos	Máximo	Físico	Ninguno	Resta en 4 los puntos de vida sufridos por ataque (hasta un mínimo de 1). Consulta la página 61 del libro de personajes para más información.	
Resistencia al Dolor (Mayor)	15	Todos	Mayor	Físico	Ninguno	Resta en 3 los puntos de vida sufridos por ataque (hasta un mínimo de 1). Consulta la página 61 del libro de personajes para más información.	
Resistencia al Dolor (Menor)	10	Todos	Menor	Físico	Ninguno	Resta en 2 los puntos de vida sufridos por ataque (hasta un mínimo de 1). Consulta la página 61 del libro de personajes para más información.	
Resistencia al Dolor (Mínimo)	5	Todos	Mínimo	Físico	Ninguno	Resta en 1 los puntos de vida sufridos por ataque (hasta un mínimo de 1). Consulta la página 61 del libro de personajes para más información.	
Ruidoso	-15	Todos	Mayor	Físico	Subterfugio·Sigilo (-10), Acechar(-15), Esconderse (-15)	No eres especialmente silencioso. Consulta la página 88 del Manual de Personajes para más detalles.
Salto Potente	5	Mínimo	Todos	Físico	Saltar (30)	Pagina 61 del Manual de Personajes.
Secreto (Mayor)	-15	Todos	Mayor	Especial	Ninguno	Existe un secreto que si alguien lo descubriera morirías. Consulta la página 102 del libro de personajes para más información.	
Secreto (Menor)	-10	Todos	Menor	Especial	Ninguno	Existe un secreto que si alguien lo descubriera serías encarcelado o apaleado. Consulta la página 102 del libro de personajes para más información.	
Secreto (Mínimo)	-5	Todos	Mínimo	Especial	Ninguno	Existe un secreto que si alguien lo descubriera sentirías vergüenza. Consulta la página 102 del libro de personajes para más información.	
Sensible al Poder	6	Menor	Todos	Capacidad Mágica	Ninguna	Los pelos de tu nuca se ponen de punta cuando te encuentras cerca de una gran fuente de poder, un lugar encantado, un nodo de poder, un área maldita, etc. Pagina 64 del Manual de Personajes.
Sentido de la Firmeza	10	Todos	Menor	Mental	Ninguno	Reduces en 1 los asaltos aturdido. Consulta la página 67 del libro de personajes para más información.	
Sentido del Deber (Mayor)	-15	Todos	Mínimo	Mental	Ninguna	Sientes que tienes una responsabilidad con alguien o algo. Es un sentimiento interno, algo que te has autoimpuesto. No podrás traicionar, herir o mentir a aquel con el que tienes Sentido del Deber. El deber tiene que ver con un país o un grupo de gente igual de grande. Consulta la página 96 del libro de personajes para más información.	
Sentido del Deber (Menor)	-10	Todos	Mínimo	Mental	Ninguna	Sientes que tienes una responsabilidad con alguien o algo. Es un sentimiento interno, algo que te has autoimpuesto. No podrás traicionar, herir o mentir a aquel con el que tienes Sentido del Deber. El deber tiene que ver con un grupo grande de personas o una organización. Consulta la página 96 del libro de personajes para más información.	
Sentido del Deber (Mínimo)	-5	Todos	Mínimo	Mental	Ninguna	Sientes que tienes una responsabilidad con alguien o algo. Es un sentimiento interno, algo que te has autoimpuesto. No podrás traicionar, herir o mentir a aquel con el que tienes Sentido del Deber. El deber tiene que ver con alguien cercano o un grupo pequeño de personas. Consulta la página 96 del libro de personajes para más información.	
Sentido Interno	10	Menor	Todos	Mental	Maniobrar Aturdido (20), Superar Aturdimiento (20)	Pagina 67 del Manual de Personajes.
Sin Concentración	-10	Todos	Menor	Mental	Ninguna	-25 a todas las habilidades que duren más de medio minuto. Pagina 97 del Manual de Personajes.
Sin Equilibrio	-20	Todos	Máximo	Físico	Acechar (-20), Caminar con Zancos (-20), Caminar por la Cuerda Floja (-20)	Consulta la página 89 del libro de personajes para más información.	
Suerte (Máximo)	30	Todos	Máximo	Capacidad Especial	Ninguno	Tiradas abiertas a 93-100. Consulta la página 73 del libro de personajes para más información.	
Suerte (Mayor)	20	Todos	Mayor	Capacidad Especial	Ninguno	Tiradas abiertas a 94-100. Consulta la página 73 del libro de personajes para más información.	
Suerte (Menor)	10	Todos	Menor	Capacidad Especial	Ninguno	Tiradas abiertas a 95-100. Consulta la página 73 del libro de personajes para más información.	
Sutil	8	Todos	Menor	Físico	Acechar (25), Esconderse (25)	Consulta la página 61 del libro de personajes para más información.
Velocidad Deslumbrante	5	Todos	Menor	Físico	Movimiento (10)	Tu capacidad de movimiento se incrementa en 10. Consulta la página 62 del libro de personajes para más información.	
Visión Étera	10	Menor	Todos	Capacidad Mágica	Ninguna	Cerrando los ojos y concentrándote durante 2d10 asaltos, puedes cambiar tu visión para percibir cosas invisibles. Esto dura 10D10 minutos y sólo puede ser usado una vez al día. La activación de este poder no interfiere con tu visión normal. Pagina 65 del Manual de Personajes.
Visión Nocturna	7	Todos	Menor	Físico	Ninguna	Te permite ver en presencia de luz ténue. Consulta la página 62 del Manual de Personajes para más detalles.
Visión Periférica	7	Todos	Menor	Físico	Ninguno	La bonificación del enemigo por atacarte por el flanco es solo de +5 y +15 por la espalda. Consulta la página 62 del libro de personajes para más información.	
Voz Poderosa	7	Todos	Menor	Físico	Ninguno	Rompe objetos de cristal o aturde adversarios un asalto por cada 10 de fallo en la TR. Si se usa este poder más de una vez al día se queda sin voz una semana. Consulta la página 62 del libro de personajes para más información.	
Zoquete	-20	Todos	Máximo	Físico	Artes Marciales·Barridos (-20), Artes Marciales·Golpes (-20), Artes Marciales·Maniobras de Combate (-20)	Consulta la página 89 del libro de personajes para más información.	
Salto Increíble	20	Todos	Menor	Capacidad Especial	Ninguna	Tienes un salto horizontal básico con carrera tres veces superior al normal, el vertical es cinco veces mayor. Consulta la página 72 del libro de personajes para más información.
