#Nombre	Características	Progresión	Habilidades {AñadirHabilidadDesbloqueada1; AñadirHabilidadDesbloqueada2;...} [Especialidad1; Especialidad2; ...]
################################################################
Defensas Especiales(DefEsp)	Ninguna	Combinada	Aguante Adrenal, Defensa Adrenal, Resistencia Adrenal
Desarrollo de Puntos de Poder(DesPP)	*	DPP	Desarrollo de Puntos de Poder
Desarrollo Físico(DesFis)	Co/Ad/Co	DF	Desarrollo Físico
Exteriores·Animales(ExtAni)	Em/Ag/Em	Estándar	Conducir, Domar, Maestría de Animales (R), Manejo de los Animales, Montar, Montar: Lobos, Montar: Caballos, Montar: Osos, Montar: Camellos, Montar: Elefantes*, Montar: Montura Elemental*, Curación de Animales (R), Pastoreo
Exteriores·Entorno(ExtEnt)	Ad/In/Me	Estándar	Cazar, Espeleología, Forrajear, Orientación Celeste, Predicción del Clima, Supervivencia, Supervivencia (Montañas), Supervivencia (Bosques), Supervivencia (Desiertos), Supervivencia (Llanuras), Supervivencia (Subterráneos), Supervivencia (Ártico)
Hechizos Dirigidos(HecDir)	Ag/Ad/Ag	Estándar	Relámpago
Listas Básicas de Hechizos(ListBas)	*	Limitada	Hechizos
Listas Abiertas de Hechizos(ListAb)	*	Limitada	Hechizos
Listas Cerradas de Hechizos(ListCerr)	*	Limitada	Hechizos
Listas Básicas de Otras Profesiones(ListBasOt)	*	Limitada	Hechizos
Listas Abiertas de Otros Reinos(ListAbOt)	*	Limitada	Hechizos
Listas Cerradas de Otros Reinos(ListCerrOt)	*	Limitada	Hechizos
Listas Básicas de Otros Reinos(ListBasOtR)	*	Limitada	Hechizos
Listas Abiertas Arcanas(ListAbArc)	*	Limitada	Hechizos
Listas Hechizos de Adiestramiento(ListAd)	*	Limitada	Hechizos
Listas Hechizos de Adiestramientos de Otros Reinos(ListAdOtR)	*	Limitada	Hechizos
Listas Básicas de la Tríada(ListTri)	*	Limitada	Hechizos
Listas Básicas Elementales Complementarias(ListElCom)	*	Limitada	Hechizos
Influencia(Infl)	Pr/Em/In	Estándar	Comerciar, Diplomacia, Embaucar, Interrogar, Liderazgo, Oratoria, Seducción, Sobornar, Rumorear
Maniobras de Combate(ManCom)	Ag/Rp/Ad	Combinada	Combate con 2 Armas, Combate Montado, Desenvainar, Florituras, Ataque de Revés, Esquiva Acrobática (R), Estilo de Arma (Básico), Estilo de Arma (Avanzado), Luchar a Ciegas, Subyugar
Manipulación del Poder(ManPod)	Em/In/Ad	Combinada	Canalización, Maestría de los Hechizos, Maestría de los Hechizos: Control del Aire, Maestría de los Hechizos: Ley de la Luz, Maestría de los Hechizos: Maestría de los Espiritus, Ritual Mágico, Trascender Armadura (R), Ocultación de Hechizos
Oficios(Ofi)	Ag/Me/Ad	Combinada	Cocinar, Manejo de Cuerdas, Trabajar el Cuero, Trabajar el Metal, Trabajar la Madera, Trabajar la Piedra, Coser/Tejer, Dibujar, Escribir, Hacer Flechas, Horticultura, Peletería, Servicio, Trampero
Percepción·Búsqueda(PerBus)	In/Ra/Ad	Estándar	Buscar, Detectar Mentiras, Detectar Trampas, Detectar Venenos, Leer Huellas, Observación, Rastrear
Percepción·Perspicacia(PerPers)	In/Ad/In	Limitada	Alerta, Detectar Emboscadas
Percepción·Sentidos(PerSen)	In/Ad/In	Estándar	Percepción del Entorno: Ciudades, Percepción del Entorno: Combate, Percepción del Entorno: Durmiendo, Percepción del Entorno: Exploración, Sentido de la Dirección, Sentido del Espacio (R), Sentido del Tiempo, Vista, Olfato, Gusto, Oído, Tacto, Sentido de la Realidad (R), Vigilancia
Percepción de Poder(PerPod)	Em/In/Pr	Estándar	Leer Runas, Sintonización, Adivinación, Percepción del Poder (R)
Subterfugio·Ataque(SubAta)	Ag/Ad/In	Estándar	Ataque Silencioso, Emboscar
Subterfugio·Mecánica(SubMec)	In/Ag/Ra	Estándar	Abrir Cerraduras, Camuflaje, Desactivar Trampas, Disfrazarse, Construir Trampas, Preparar Trampas, Usa/Curar Venenos, Falsificación, Imitación, Ocultar Objetos
Subterfugio·Sigilo(SubSig)	Ag/Ad/In	Estándar	Acechar, Esconderse, Juegos de Manos, Robar Bolsillos
Técnica/comercio·General(TecGen)	Ra/Me/Ad	Estándar	Dibujar Mapas, Juego, Juegos de Estrategia, Maquinaria, Mendigar, Navegar, Orientación, Primeros Auxilios, Usar Hierbas
Técnica/comercio·Profesional(TecPro)	Ra/Me/In	Combinada	Cuidados Médicos, Diagnosis, Ingeniería, Mecánica, Minería, Adormecerse, Arquitectura, Cirugía, Organización Militar, Propaganda, Zahorí, Investigación
Técnica/comercio·Vocacional(TecVoc)	Me/In/Ra	Combinada	Administración, Manejo de Botes, Evaluar Arma, Evaluar Armadura, Evaluar Metal, Evaluar Piedra, Navegación, Táctica, Tasar, Artimañas, Cartografía, Ingeniería de Asedio, Partería, Preparar Hierbas, Preparar Venenos
Urbana(Urb)	In/Pr/Ra	Estándar	Agenciar, Callejeo, Disimulo, Instinto Urbano
